,ko,target,log2FoldChange
21136,Ikzf1_Plate15,ENSMUSG00000026116,0.26170874694157
21137,Ikzf1_Plate15,ENSMUSG00000026177,-0.496109128529587
21139,Ikzf1_Plate15,ENSMUSG00000026222,-0.309367477747978
21140,Ikzf1_Plate15,ENSMUSG00000026223,0.605201921013331
21146,Ikzf1_Plate15,ENSMUSG00000026277,0.246464114289534
21147,Ikzf1_Plate15,ENSMUSG00000026278,0.989384857535198
21150,Ikzf1_Plate15,ENSMUSG00000026341,-0.295210994513401
21151,Ikzf1_Plate15,ENSMUSG00000026355,-0.227327524251705
21154,Ikzf1_Plate15,ENSMUSG00000026360,-0.269913488496131
21156,Ikzf1_Plate15,ENSMUSG00000026421,0.24495852998611498
21157,Ikzf1_Plate15,ENSMUSG00000026425,0.396403015064807
21158,Ikzf1_Plate15,ENSMUSG00000026435,-0.529156665741638
21159,Ikzf1_Plate15,ENSMUSG00000026437,0.487486298685892
21160,Ikzf1_Plate15,ENSMUSG00000026447,1.32490754219611
21162,Ikzf1_Plate15,ENSMUSG00000026458,0.313652258821131
21165,Ikzf1_Plate15,ENSMUSG00000026509,-0.319821774246644
21167,Ikzf1_Plate15,ENSMUSG00000026548,0.684471077193052
21168,Ikzf1_Plate15,ENSMUSG00000026594,0.43869634438007704
21169,Ikzf1_Plate15,ENSMUSG00000026596,0.46415123135474295
21174,Ikzf1_Plate15,ENSMUSG00000026657,0.5973519490557161
21176,Ikzf1_Plate15,ENSMUSG00000026688,1.02230920424523
21177,Ikzf1_Plate15,ENSMUSG00000026700,2.00884052513063
21178,Ikzf1_Plate15,ENSMUSG00000026701,0.27814889028300105
21181,Ikzf1_Plate15,ENSMUSG00000026737,0.248017446156599
21182,Ikzf1_Plate15,ENSMUSG00000026749,0.47064178725831396
21184,Ikzf1_Plate15,ENSMUSG00000026768,1.0362918673333101
21186,Ikzf1_Plate15,ENSMUSG00000026782,0.351236960415677
21187,Ikzf1_Plate15,ENSMUSG00000026785,0.9228956576686139
21188,Ikzf1_Plate15,ENSMUSG00000026797,0.432328528480879
